company,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Race,Education
Facebook,300000,10,2,Female,Asian,Bachelor's Degree
Amazon,200000,5,3,Male,Asian,Master's Degree
Amazon,130000,7,0,Male,White,Bachelor's Degree
Amazon,155000,3,3,Male,Asian,Bachelor's Degree
Amazon,427000,10,0,Male,Asian,Bachelor's Degree
Amazon,255000,7,0,Male,Two Or More,Bachelor's Degree
Oracle,220000,4,2,Male,Asian,Master's Degree
Microsoft,190000,2,2,Male,Asian,Bachelor's Degree
Amazon,190000,8,1,Male,Asian,Bachelor's Degree
Google,365000,5,0,Female,Asian,Master's Degree
Oracle,165000,4,1,Male,White,Bachelor's Degree
Microsoft,222000,13,5,Female,Asian,Master's Degree
Amazon,230000,8,0,Male,Asian,Master's Degree
Google,105000,0,0,Male,White,Bachelor's Degree
Google,285000,6,0,Male,Asian,Master's Degree
Amazon,255000,9,4,Female,White,Master's Degree
Apple,248000,5,2,Male,White,PhD
Amazon,220000,7,0,Male,White,Bachelor's Degree
Amazon,146000,3,0,Male,Asian,Bachelor's Degree
Apple,238000,2,2,Male,Asian,Master's Degree
Microsoft,64000,9,2,Male,Asian,Master's Degree
Google,289000,10,3,Male,White,Master's Degree
Microsoft,193000,25,24,Male,White,Master's Degree
Oracle,270000,4,2,Male,Asian,Bachelor's Degree
Amazon,209000,10,2,Male,White,Master's Degree
Facebook,330000,10,1,Male,White,Bachelor's Degree
Google,200000,5,2,Male,Hispanic,Master's Degree
Google,234000,10,5,Male,Asian,Master's Degree
Microsoft,68000,0,0,Female,Asian,Bachelor's Degree
Facebook,295000,3,0,Male,Asian,Bachelor's Degree
Amazon,190000,3,0,Male,Asian,Bachelor's Degree
Oracle,128000,2,2,Male,Black,Bachelor's Degree
Amazon,105000,4,4,Male,White,Bachelor's Degree
Microsoft,240000,12,12,Female,White,Master's Degree
Facebook,172000,2,2,Female,White,Bachelor's Degree
Google,190000,0,0,Female,White,Bachelor's Degree
Facebook,385000,11,0,Male,Asian,Master's Degree
Facebook,173000,0,0,Female,Asian,Master's Degree
Amazon,204000,8,3,Female,Asian,Master's Degree
Amazon,215000,3,3,Male,Asian,Master's Degree
Apple,200000,0,0,Female,Asian,Master's Degree
Amazon,202000,5,5,Male,Asian,Master's Degree
Google,264000,0,0,Male,Asian,PhD
Amazon,170000,13,2,Female,Asian,Bachelor's Degree
Amazon,265000,4,4,Male,Asian,Master's Degree
Amazon,205000,10,1,Male,Two Or More,Bachelor's Degree
Google,62000,4,0,Male,Asian,Bachelor's Degree
Microsoft,159000,13,13,Male,Asian,Master's Degree
Google,135000,1,0,Male,Two Or More,Master's Degree
Microsoft,47000,4,0,Male,Asian,Bachelor's Degree
Amazon,490000,15,1,Male,White,Master's Degree
Google,245000,4,3,Male,White,Bachelor's Degree
Amazon,230000,15,0,Male,White,Master's Degree
Amazon,320000,20,6,Male,Hispanic,Bachelor's Degree
Amazon,325000,5,0,Male,Asian,Master's Degree
Apple,240000,8,0,Male,White,Bachelor's Degree
Microsoft,292000,19,14,Male,White,Master's Degree
Google,350000,4,0,Female,Asian,Master's Degree
Amazon,39000,2,1,Male,White,Bachelor's Degree
Amazon,221000,2,2,Male,Asian,Master's Degree
Google,220000,2,0,Male,Asian,Master's Degree
Google,383000,9,4,Male,White,Master's Degree
Apple,192000,2,2,Male,White,Master's Degree
Apple,175000,6,1,Male,White,PhD
Amazon,220000,5,5,Male,White,Bachelor's Degree
Google,85000,1,0,Female,White,Bachelor's Degree
Microsoft,195000,1,1,Female,White,Bachelor's Degree
Google,567000,28,2,Male,White,Master's Degree
Apple,370000,8,3,Male,White,Bachelor's Degree
Google,188000,1,1,Female,White,Bachelor's Degree
Oracle,220000,7,3,Male,Two Or More,Bachelor's Degree
Microsoft,198000,10,4,Female,White,Master's Degree
Google,253000,10,0,Male,Hispanic,Bachelor's Degree
Amazon,412000,12,3,Male,Two Or More,Master's Degree
Google,204000,2,0,Male,White,Bachelor's Degree
Microsoft,149000,7,5,Female,White,Bachelor's Degree
Microsoft,167000,2,2,Female,Two Or More,Bachelor's Degree
Microsoft,163000,0,0,Male,Asian,Bachelor's Degree
Microsoft,134000,6,2,Female,Asian,Bachelor's Degree
Microsoft,170000,0,0,Male,White,Bachelor's Degree
Amazon,101000,2,0,Male,White,Bachelor's Degree
Amazon,173000,1,0,Male,Asian,Bachelor's Degree
Facebook,169000,5,1,Male,Hispanic,Bachelor's Degree
Amazon,196000,0,0,Male,White,PhD
Amazon,220000,4,1,Female,Asian,Bachelor's Degree
Apple,308000,5,0,Male,Asian,Master's Degree
Amazon,261000,4,0,Male,Asian,Master's Degree
Microsoft,213000,4,4,Female,Two Or More,Bachelor's Degree
Apple,215000,2,1,Female,White,PhD
Oracle,128000,4,0,Male,White,Bachelor's Degree
Microsoft,127000,3,0,Male,White,Bachelor's Degree
Amazon,250000,4,4,Male,White,Bachelor's Degree
Google,247000,3,3,Male,White,Bachelor's Degree
Microsoft,212000,7,0,Male,Hispanic,Bachelor's Degree
Google,40000,0,0,Male,Asian,Bachelor's Degree
Microsoft,315000,3,3,Male,White,Bachelor's Degree
Google,145000,0,0,Male,Two Or More,Master's Degree
Amazon,40000,1,1,Male,Asian,Master's Degree
Google,252000,7,6,Male,White,Bachelor's Degree
Facebook,170000,1,0,Male,White,Bachelor's Degree
Google,440000,11,0,Male,White,Bachelor's Degree
Amazon,207000,9,4,Male,Asian,Bachelor's Degree
Microsoft,149000,0,0,Male,Asian,Bachelor's Degree
Oracle,85000,1,1,Male,Asian,Bachelor's Degree
Microsoft,180000,2,0,Male,Asian,Bachelor's Degree
Microsoft,399000,22,22,Female,White,Bachelor's Degree
Oracle,48000,3,0,Male,Asian,Master's Degree
Apple,148000,0,0,Male,White,Bachelor's Degree
Amazon,154000,1,0,Male,Asian,Bachelor's Degree
Oracle,195000,11,3,Female,White,Master's Degree
